full ID,dam,sire
C12-1112-,C11-0204~,C11-1718~
C12-1211~,C11-1718~,C11-0204~
C12-1213,C11-1718~,C11-0201-
C12-1312,C11-0201-,C11-1718~
C12-1314~,C11-0201-,C11-0205-
C12-1413,C11-0205-,C11-0201-
C12-1415,C11-0205-,C11-1514-
C12-1514,C11-1514-,C11-0205-
C12-1516-,C11-1514-,C11-1211-
C12-1615-,C11-1211-,C11-1514-
C12-1617~,C11-1211-,C11-0104-
C12-1716-,C11-0104-,C11-1211-
C12-1718-,C11-0104-,C11-0103-
C12-1817-,C11-0103-,C11-0104-
C12-1819-,C11-0103-,C11-2019~
C12-1918~,C11-2019~,C11-0103-
C12-1920-,C11-2019~,C11-0607-
C12-2006-,C11-0607-,C11-0105-
C12-2019-,C11-0607-,C11-2019~
C13-0102-,C12-0305-,C12-0503
C13-0103-,C12-0305-,C12-1314~
C13-0104-,C12-0305-,C12-0908
C13-0105~,C12-0305-,C12-1718-
C13-0201-,C12-0503,C12-0305-
C13-0203-,C12-0503,C12-1314~
C13-0204-,C12-0503,C12-0908
C13-0205-,C12-0503,C12-1718-
C13-0301-,C12-1314~,C12-0305-
C13-0302-,C12-1314~,C12-0503
C13-0304~,C12-1314~,C12-0908
C13-0305-,C12-1314~,C12-1718-
C13-0401-,C12-0908,C12-0305-
C13-0402-,C12-0908,C12-0503
C13-0403-,C12-0908,C12-1314~
C13-0405,C12-0908,C12-1718-
C13-0501,C12-1718-,C12-0305-
C13-0502~,C12-1718-,C12-0503
C13-0503-,C12-1718-,C12-1314~
C13-0504-,C12-1718-,C12-0908
C13-0607~,C12-1413,C12-0105-
C13-0620,C12-1413,C12-0204-
C13-0706,C12-0105-,C12-1413
C13-0708-,C12-0105-,C12-0302-
C13-0807-,C12-0302-,C12-0105-
C13-0809,C12-0302-,C12-0103-
C13-0908~,C12-0103-,C12-0302-
C13-0910-,C12-0103-,C12-0203~
C13-1009~,C12-0203~,C12-0103-
C13-1011,C12-0203~,C12-0807~
C13-1110-,C12-0807~,C12-0203~
C13-1112~,C12-0807~,C12-1819-
C13-1211,C12-1819-,C12-0807~
C13-1213-,C12-1819-,C12-1415
C13-1312-,C12-1415,C12-1819-
C13-1314-,C12-1415,C12-0304-
C13-1413-,C12-0304-,C12-1415
C13-1415~,C12-0304-,C12-1516-
C13-1514-,C12-1516-,C12-0304-
C13-1516-,C12-1516-,C12-0501-
C13-1615-,C12-0501-,C12-1516-
C13-1617-,C12-0501-,C12-0607-
C13-1716,C12-0607-,C12-0501-
C13-1718-,C12-0607-,C12-1920-
C13-1817~,C12-1920-,C12-0607-
C13-1819,C12-1920-,C12-1716-
C13-1918~,C12-1716-,C12-1920-
C13-1920-,C12-1716-,C12-0204-
C13-2006~,C12-0204-,C12-1413
C13-2019,C12-0204-,C12-1716-
C14-0102-,C13-0403-,C13-0503-
C14-0103~,C13-0403-,C13-1314-
C14-0104-,C13-0403-,C13-0908~
C14-0105-,C13-0403-,C13-1718-
C14-0201~,C13-0503-,C13-0403-
C14-0203-,C13-0503-,C13-1314-
C14-0204-,C13-0503-,C13-0908~
C14-0205-,C13-0503-,C13-1718-
C14-0301-,C13-1314-,C13-0403-
C14-0302-,C13-1314-,C13-0503-
C14-0304-,C13-1314-,C13-0908~
C14-0305~,C13-1314-,C13-1718-
C14-0401-,C13-0908~,C13-0403-
C14-0402~,C13-0908~,C13-0503-
C14-0403~,C13-0908~,C13-1314-
C14-0405~,C13-0908~,C13-1718-
C14-0501-,C13-1718-,C13-0403-
C14-0502-,C13-1718-,C13-0503-
C14-0503-,C13-1718-,C13-1314-
C14-0504-,C13-1718-,C13-0908~
